Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
0,0,0,0,0,0,0,0,0,0,0,1339.69
0,1,0,0,1,1,0,1,1,0,1,898.94
1,2,1,1,2,2,0,2,2,1,2,575.0
0,0,0,2,3,3,1,3,3,0,3,2537.45
0,0,0,0,0,4,0,2,4,0,0,1803.6
2,3,1,1,4,5,2,4,5,2,4,400.0
0,0,0,2,3,6,1,5,6,3,5,2139.97
0,1,0,0,1,1,0,5,1,0,1,1158.7
3,4,0,3,2,7,1,3,7,2,6,1495.0
2,5,0,3,5,8,0,2,8,2,7,770.0
1,2,1,1,4,2,2,4,2,1,2,393.9
1,2,1,1,2,9,2,4,9,1,2,344.99
0,0,0,2,3,10,1,2,10,0,3,2439.97
4,6,1,1,2,9,2,2,11,2,8,498.9
0,7,0,4,6,11,0,2,12,0,9,1262.4
0,0,0,0,0,0,0,2,0,0,0,1518.55
4,6,1,1,2,12,0,2,11,2,8,745.0
0,0,0,2,3,13,1,3,13,0,3,2858.0
5,8,1,1,2,14,0,6,14,1,8,499.0
4,9,0,0,7,8,0,0,8,2,10,979.0
3,10,2,5,4,15,3,7,15,2,11,191.9
5,11,3,1,5,16,0,8,16,2,12,999.0
1,12,1,1,4,17,2,4,17,1,2,258.0
4,13,4,0,8,8,0,2,8,2,13,819.0
1,14,0,1,2,7,0,2,2,2,14,659.0
4,6,1,1,4,9,2,6,9,2,15,418.64
0,15,0,0,1,18,0,1,1,3,16,1099.0
4,16,1,1,2,8,0,2,18,2,8,800.0
4,17,0,1,2,19,0,9,8,2,17,1298.0
1,18,1,6,2,8,0,6,19,2,12,896.0
6,19,1,1,2,20,2,10,20,2,18,244.99
3,20,1,3,4,21,3,7,17,2,19,199.0
1,21,1,6,2,22,2,4,18,2,20,439.0
4,9,0,0,9,7,1,3,8,2,21,1869.0
0,15,0,0,1,18,0,5,1,3,16,998.0
5,22,1,3,4,23,2,10,21,2,22,249.0
2,3,1,1,4,24,2,6,2,4,4,367.0
4,23,1,6,5,8,0,8,18,2,23,979.0
1,2,1,1,4,2,2,6,2,2,2,488.69
1,24,1,1,2,8,0,2,22,2,4,879.0
3,25,1,1,2,9,2,6,2,4,24,389.0
4,26,3,1,5,25,1,11,23,2,25,1499.0
3,27,1,1,4,2,0,6,14,4,15,522.99
2,28,1,1,5,8,2,2,8,2,8,682.0
4,29,4,6,8,8,4,6,24,2,26,999.0
0,0,0,0,0,26,0,2,25,0,0,1419.0
5,30,1,1,4,9,2,0,9,1,8,369.0
3,31,3,6,2,27,0,11,26,2,27,1299.0
4,6,1,1,2,2,2,2,11,2,15,639.0
3,32,1,6,4,28,2,6,27,2,23,466.0
5,33,4,7,10,29,2,10,15,5,28,319.0
2,28,1,1,5,7,0,2,7,2,8,841.0
1,12,1,1,2,22,2,2,28,2,2,398.49
1,34,1,0,2,7,0,3,8,2,29,1103.0
2,3,1,1,4,14,2,6,2,2,30,384.0
4,35,1,1,2,7,0,2,29,2,31,767.8
1,36,1,1,2,9,2,0,9,2,14,439.0
3,37,1,1,4,2,2,2,2,2,24,586.19
7,38,3,6,2,25,1,12,30,2,32,2449.0
3,39,1,1,2,9,2,2,9,4,24,415.0
4,23,1,6,2,7,1,12,18,2,23,1299.0
4,40,0,3,2,8,0,2,8,2,33,879.0
5,41,1,3,5,24,0,2,2,1,33,599.0
3,42,1,3,2,8,0,2,8,2,34,941.0
1,2,1,1,2,2,0,2,2,2,2,690.0
3,43,0,1,2,25,1,3,31,2,35,1983.0
1,2,1,1,4,9,2,4,29,2,2,438.69
1,44,1,3,4,30,2,13,15,2,22,229.0
5,45,1,1,2,2,2,6,2,2,36,549.0
3,46,3,6,2,25,4,6,31,4,37,949.0
8,47,0,8,11,2,2,0,2,6,38,1089.0
4,48,0,0,5,7,0,2,18,2,34,955.0
4,16,1,1,2,7,0,2,18,2,8,870.0
7,49,3,6,2,16,0,8,16,2,39,1095.0
2,50,1,3,4,9,0,6,9,2,4,389.0
3,51,3,1,2,25,0,6,16,2,8,949.0
5,52,1,1,2,2,0,14,2,1,8,519.0
4,16,1,1,2,7,0,8,8,2,40,855.0
2,53,1,1,2,24,2,6,32,2,8,530.0
1,18,1,6,2,8,0,8,19,2,12,977.0
4,17,0,1,5,8,0,2,8,2,17,1096.16
0,7,0,4,6,31,0,3,12,0,9,1510.0
1,54,1,3,2,8,0,2,2,2,41,860.0
5,55,1,1,2,22,2,0,33,2,8,399.0
2,3,1,1,4,5,2,6,5,2,4,395.0
4,26,3,1,5,25,1,8,31,2,25,1349.0
1,56,0,1,5,7,0,2,34,2,3,699.0
1,2,1,1,2,2,0,2,2,2,42,598.99
3,57,3,1,5,25,1,8,23,2,8,1449.0
4,9,0,0,5,7,0,2,8,2,43,1649.0
3,58,3,1,2,32,0,6,35,2,44,699.0
2,59,1,1,2,7,0,6,7,2,8,689.0
1,60,1,0,2,7,1,3,8,2,29,1197.0
4,26,3,1,2,16,0,2,23,2,25,1195.0
3,61,0,3,2,12,0,2,2,2,45,1049.0
2,62,4,0,7,8,0,2,8,2,46,847.0
4,6,1,1,2,12,0,6,11,4,8,599.9
4,6,1,1,2,9,2,2,11,4,8,485.0
3,63,1,1,2,14,5,2,36,2,24,577.0
1,64,3,1,5,25,4,8,16,2,47,1249.0
1,65,1,1,2,12,0,2,18,2,14,719.0
1,66,1,1,2,17,2,4,17,2,4,349.0
4,35,1,1,2,8,0,6,29,4,8,647.0
1,67,0,0,5,12,0,2,7,2,48,1119.0
8,47,0,8,11,2,0,2,2,6,38,1340.0
1,68,1,3,5,2,5,2,14,2,49,659.0
5,69,1,1,2,9,2,6,9,2,50,414.9
3,70,0,3,5,12,0,2,14,2,6,1193.0
7,71,3,1,2,25,1,11,31,2,8,1299.0
5,72,1,3,5,12,0,2,2,2,49,1480.0
3,73,0,1,2,7,1,11,7,2,46,1262.0
4,9,0,0,12,33,0,2,0,2,51,1379.0
5,74,4,0,7,2,0,2,2,2,0,1399.0
1,75,1,3,13,8,2,4,8,2,41,722.0
4,9,0,0,5,8,0,2,8,2,43,1629.0
1,76,4,0,7,8,0,2,8,2,52,1398.99
1,75,1,3,2,7,0,3,8,2,41,1084.0
4,77,1,1,5,7,0,11,14,2,53,1130.33
3,78,1,6,2,9,2,6,27,2,24,564.0
3,73,1,1,2,7,0,2,14,2,33,1118.0
2,79,1,1,7,14,5,6,2,2,4,479.0
7,80,3,1,2,25,1,12,30,2,35,2241.5
5,52,1,1,2,2,0,2,14,1,8,629.0
1,81,1,6,2,7,1,3,22,2,12,1271.0
2,3,1,1,4,5,2,2,5,2,4,451.0
1,2,1,1,4,30,2,4,15,1,2,259.0
1,75,1,3,2,8,0,6,8,2,41,812.0
3,82,1,3,4,34,2,15,17,6,19,277.99
4,23,1,6,2,7,1,12,18,2,23,1396.0
1,18,1,6,2,8,0,2,8,2,12,928.0
4,83,1,1,4,2,0,6,37,2,54,638.99
4,6,1,1,2,9,2,6,11,2,8,449.0
2,5,0,3,5,7,0,2,8,2,7,884.0
2,84,1,1,2,24,2,2,32,2,8,572.0
1,85,1,1,4,12,0,6,2,2,55,598.0
1,75,1,3,2,7,0,2,8,2,41,988.0
5,86,1,1,4,23,2,6,21,1,36,252.36
3,87,3,6,2,16,0,8,16,2,37,938.0
5,52,1,1,2,2,2,6,27,1,8,499.0
1,88,1,0,5,2,2,2,2,2,56,699.0
2,59,1,6,5,24,2,6,32,2,37,655.0
5,89,1,3,5,8,0,2,38,2,57,1116.02
5,11,3,1,5,25,0,2,39,1,30,869.0
9,90,1,1,4,35,2,4,9,2,4,602.0
1,12,1,1,4,22,2,2,28,2,2,369.0
3,91,0,3,2,7,0,2,8,2,45,1099.0
1,92,0,9,14,36,0,3,40,2,58,2014.0
3,93,1,1,2,23,2,6,21,2,24,344.0
7,94,3,6,2,25,1,11,30,2,59,2029.0
2,95,1,1,4,9,2,6,9,2,4,447.0
4,96,3,1,2,25,1,3,16,2,60,1249.26
4,97,3,1,2,25,0,16,16,2,47,899.0
5,98,1,1,4,2,2,0,2,2,36,498.0
7,99,3,6,2,25,1,11,23,2,23,1890.0
1,100,0,3,2,37,2,2,2,2,61,1082.0
1,101,1,1,2,8,5,2,29,2,14,619.0
5,102,4,3,7,14,2,2,2,2,62,629.0
3,103,4,0,8,8,0,2,2,2,63,1315.0
4,104,4,1,8,7,0,2,8,2,64,1049.0
9,90,1,1,4,38,2,4,9,2,4,447.0
3,105,1,1,4,5,2,6,41,2,65,403.0
2,106,1,6,5,8,2,2,7,2,37,805.0
4,35,1,1,2,8,0,2,29,2,31,728.0
5,11,3,1,5,25,1,2,31,2,12,1079.0
2,107,1,1,4,23,2,6,21,2,4,348.0
7,108,3,1,5,25,1,11,23,2,30,1799.0
2,3,1,1,4,28,2,6,42,2,4,363.51
4,96,3,1,2,25,0,8,16,2,60,1060.49
2,106,1,6,5,8,0,2,7,2,37,854.0
1,34,1,0,5,8,2,4,8,2,29,754.0
